["port 1",""]
["port 2",""]
["port 3",""]
["port 4",""]
("port 1","mode 1",1,"port 1",1,"transmission")
(20, 3)
1.8737028625000000e+14 4.4866835610660712e-03 3.0017116422710428e+00
1.8802772585087719e+14 4.2142411394292352e-03 3.0309149380794671e+00
1.8868516545175438e+14 3.8479566882417254e-03 3.1012872586166043e+00
1.8934260505263156e+14 3.3290189412830697e-03 3.2078199154030824e+00
1.9000004465350878e+14 2.6483773808954358e-03 3.3405286952350326e+00
1.9065748425438597e+14 1.8483771767954713e-03 3.4828120721826572e+00
1.9131492385526316e+14 1.0153558671113316e-03 3.5896952716811188e+00
1.9197236345614034e+14 2.9592586644585354e-04 3.2741674441609723e+00
1.9262980305701753e+14 4.1992096107855165e-04 1.5444398214941744e+00
1.9328724265789472e+14 7.2571325862137931e-04 1.5472892816823980e+00
1.9394468225877194e+14 7.2893668800621148e-04 1.7323372964821913e+00
1.9460212185964912e+14 4.1223686487163434e-04 1.9649903349393427e+00
1.9525956146052631e+14 1.7759881373005421e-04 -1.0182542919427087e+00
1.9591700106140350e+14 9.4426723673692676e-04 -7.3432432227598654e-01
1.9657444066228069e+14 1.7612309375968313e-03 -4.9185322961028588e-01
1.9723188026315788e+14 2.4905885562126343e-03 -2.6083554193796643e-01
1.9788931986403506e+14 3.0091837562162393e-03 -4.7224708752054284e-02
1.9854675946491228e+14 3.2344473132326144e-03 1.3653533026659295e-01
1.9920419906578947e+14 3.1513666312677213e-03 2.6765211298715191e-01
1.9986163866666666e+14 2.8465305583579709e-03 3.0502914275666260e-01
("port 1","mode 1",1,"port 2",1,"transmission")
(20, 3)
1.8737028625000000e+14 8.9676618022629284e-01 -6.4886574342526315e-01
1.8802772585087719e+14 9.0162415285130415e-01 1.7181234953296477e-02
1.8868516545175438e+14 9.0623952950680209e-01 6.8457426895317486e-01
1.8934260505263156e+14 9.1062033788841368e-01 1.3532433439410301e+00
1.9000004465350878e+14 9.1477430177398666e-01 2.0231224063297049e+00
1.9065748425438597e+14 9.1870896972293847e-01 2.6941487671320208e+00
1.9131492385526316e+14 9.2243182490993070e-01 3.3662619333117010e+00
1.9197236345614034e+14 9.2595048388472456e-01 4.0394025466152428e+00
1.9262980305701753e+14 9.2927285901916401e-01 4.7135120328271087e+00
1.9328724265789472e+14 9.3240703015313786e-01 5.3885331197766924e+00
1.9394468225877194e+14 9.3536070259878201e-01 6.0644108489924093e+00
1.9460212185964912e+14 9.3814045777665911e-01 6.7410934282140156e+00
